Date,Current Account Size
2020-12-21 00:00:00,1549138.81
2020-12-22 00:00:00,1560055.1600000001
2020-12-23 00:00:00,1561864.83
2020-12-24 00:00:00,1555836.9800000002
2020-12-28 00:00:00,1553534.1700000004
2020-12-29 00:00:00,1546076.2500000002
2020-12-30 00:00:00,1546212.4500000002
2020-12-31 00:00:00,1552986.2800000003
2021-01-04 00:00:00,1546598.2999999998
2021-01-05 00:00:00,1550143.1600000001
2021-01-06 00:00:00,1559663.5000000005
2021-01-07 00:00:00,1587407.3800000008
2021-01-08 00:00:00,1577985.3200000003
2021-01-11 00:00:00,1578602.6800000006
2021-01-12 00:00:00,1594921.4500000002
2021-01-13 00:00:00,1592696.7200000002
2021-01-14 00:00:00,1597207.3200000005
2021-01-15 00:00:00,1590131.9100000006
2021-01-19 00:00:00,1584504.8800000008
2021-01-20 00:00:00,1583640.5100000007
2021-01-21 00:00:00,1577125.1500000008
2021-01-22 00:00:00,1577590.5000000005
2021-01-25 00:00:00,1580290.0400000005
2021-01-26 00:00:00,1596687.2400000002
2021-01-27 00:00:00,1668410.6600000001
2021-01-28 00:00:00,1637719.8400000003
2021-01-29 00:00:00,1641637.9200000004
2021-02-01 00:00:00,1608398.9400000004
2021-02-02 00:00:00,1596698.5500000003
2021-02-03 00:00:00,1599689.84
2021-02-04 00:00:00,1605992.3900000004
2021-02-05 00:00:00,1619704.96
2021-02-08 00:00:00,1646445.42
2021-02-09 00:00:00,1661708.9199999995
2021-02-10 00:00:00,1690374.1599999995
2021-02-11 00:00:00,1703894.89
2021-02-12 00:00:00,1713683.7299999997
2021-02-16 00:00:00,1712710.8599999994
2021-02-17 00:00:00,1702170.4599999995
2021-02-18 00:00:00,1700068.7199999997
2021-02-19 00:00:00,1710181.5299999998
2021-02-22 00:00:00,1722894.2099999995
2021-02-23 00:00:00,1720153.2999999998
2021-02-24 00:00:00,1723405.6399999997
2021-02-25 00:00:00,1715565.2899999998
2021-02-26 00:00:00,1701257.5799999996
2021-03-01 00:00:00,1699919.1999999997
2021-03-02 00:00:00,1698494.0899999999
2021-03-03 00:00:00,1706174.1499999997
2021-03-04 00:00:00,1709915.3599999996
2021-03-05 00:00:00,1726881.8800000001
2021-03-08 00:00:00,1726419.48
2021-03-09 00:00:00,1690838.56
2021-03-10 00:00:00,1695094.8200000003
2021-03-11 00:00:00,1692331.2000000002
2021-03-12 00:00:00,1702674.05
2021-03-15 00:00:00,1715620.44
2021-03-16 00:00:00,1710260.21
2021-03-17 00:00:00,1702020.87
2021-03-18 00:00:00,1702543.1500000001
2021-03-19 00:00:00,1707682.7300000004
2021-03-22 00:00:00,1706650.0200000003
2021-03-23 00:00:00,1706326.0500000003
2021-03-24 00:00:00,1699109.9000000004
2021-03-25 00:00:00,1704095.5900000008
2021-03-26 00:00:00,1694947.2800000003
2021-03-29 00:00:00,1711026.4100000006
2021-03-30 00:00:00,1708644.9800000004
2021-03-31 00:00:00,1693288.0600000008
2021-04-01 00:00:00,1695427.5400000005
2021-04-05 00:00:00,1716317.2400000005
2021-04-06 00:00:00,1717812.0900000003
2021-04-07 00:00:00,1715361.7200000002
2021-04-08 00:00:00,1721073.03
2021-04-09 00:00:00,1720344.5000000005
2021-04-12 00:00:00,1736939.8800000004
2021-04-13 00:00:00,1735987.9200000002
2021-04-14 00:00:00,1730858.2200000007
2021-04-15 00:00:00,1735841.0200000003
2021-04-16 00:00:00,1748816.7700000003
2021-04-19 00:00:00,1738376.4400000004
2021-04-20 00:00:00,1746845.7700000003
2021-04-21 00:00:00,1744664.2000000002
2021-04-22 00:00:00,1741555.3600000003
2021-04-23 00:00:00,1744495.6100000003
2021-04-26 00:00:00,1750954.8500000006
2021-04-27 00:00:00,1751159.6800000006
2021-04-28 00:00:00,1754339.6100000008
2021-04-29 00:00:00,1765270.8500000008
2021-04-30 00:00:00,1756180.8100000003
2021-05-03 00:00:00,1757246.6100000003
2021-05-04 00:00:00,1767487.0300000005
2021-05-05 00:00:00,1773336.9800000004
2021-05-06 00:00:00,1790766.04
2021-05-07 00:00:00,1794082.9500000011
2021-05-10 00:00:00,1826360.79
2021-05-11 00:00:00,1800056.4200000002
2021-05-12 00:00:00,1804120.9300000006
2021-05-13 00:00:00,1815908.1800000006
2021-05-14 00:00:00,1794257.8000000007
2021-05-17 00:00:00,1787937.4000000006
2021-05-18 00:00:00,1779635.0000000007
2021-05-19 00:00:00,1762435.5700000008
2021-05-20 00:00:00,1762781.7400000002
2021-05-21 00:00:00,1759765.7000000007
2021-05-24 00:00:00,1763387.4800000004
2021-05-25 00:00:00,1755072.7800000003
2021-05-26 00:00:00,1763745.8800000004
2021-05-27 00:00:00,1771021.1900000004
2021-05-28 00:00:00,1766474.0400000005
2021-06-01 00:00:00,1774715.6700000004
